Future State - Account,Wesco 1A Account Grouping Exceptions,Grouping,Static/Dynamic,Risk Rating,Frequency
112207,Accoung group 2: Finance Charges,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
112209,Accoung group 2: Finance Charges,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
112210,Accoung group 2: Finance Charges,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
112211,Accoung group 2: Finance Charges,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
112212,Accoung group 2: Finance Charges,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
112213,Accoung group 2: Finance Charges,LE  ,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
112216,Account Group 1: Bad Debt Trade,LE & OG,Static Frequency: Quarterly,Medium,Quarterly
112217,Account Group 1: Bad Debt Trade,LE & OG,Static Frequency: Quarterly,Medium,Quarterly
112218,Account Group 1: Bad Debt Trade,LE & OG,Static Frequency: Quarterly,Medium,Quarterly
112219,Account Group 1: Bad Debt Trade,LE & OG,Static Frequency: Quarterly,Medium,Quarterly
112220,Account Group 1: Bad Debt Trade,LE & OG,Static Frequency: Quarterly,Medium,Quarterly
112221,Accoung group 3: Operating Receivables,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
112222,Accoung group 3: Operating Receivables,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
112223,Accoung group 3: Operating Receivables,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
112224,Accoung group 3: Operating Receivables,LE,Dynamic - Risk Rating and Frequency will change based on Risk based approch (every month),Risk Based approach,Risk Based approach
113001,Account Grouping 26: Supplier Volume Rebates,LE & OG,Static Frequency: Quarterly-1,Medium,Quarterly-1
113002,Account Grouping 26: Supplier Volume Rebates,LE & OG,Static Frequency: Quarterly-1,Medium,Quarterly-1
113201,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
113202,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
113203,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
113204,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
113205,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
113206,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
113207,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
113208,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
113209,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
113210,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
113211,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
113212,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
113213,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
113214,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
113215,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
113216,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
113217,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
113218,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
113219,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
113220,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
113221,Account Grouping 18: VAT,LE,Static frequency: quarterly,Medium,Quarterly
121101,Account Group 8: PPE Cost,LE  ,Static frequency: quarterly-1,Medium,Quarterly-1
121102,Account Group 8: PPE Cost,LE  ,Static frequency: quarterly-1,Medium,Quarterly-1
121103,Account Group 8: PPE Cost,LE  ,Static frequency: quarterly-1,Medium,Quarterly-1
121104,Account Group 8: PPE Cost,LE  ,Static frequency: quarterly-1,Medium,Quarterly-1
121105,Account Group 8: PPE Cost,LE  ,Static frequency: quarterly-1,Medium,Quarterly-1
121106,Account Group 8: PPE Cost,LE  ,Static frequency: quarterly-1,Medium,Quarterly-1
121107,Account Group 8: PPE Cost,LE  ,Static frequency: quarterly-1,Medium,Quarterly-1
121108,Account Group 8: PPE Cost,LE  ,Static frequency: quarterly-1,Medium,Quarterly-1
121109,Account Grouping 22: Leases,Globally,Static frequency - monthly - earmarked for automation,High,Monthly
121112,Account Group 9: PPE Clearing,LE,Static frequency: quarterly-1,Medium,Quarterly-1
121113,Account Group 9: PPE Clearing,LE,Static frequency: quarterly-1,Medium,Quarterly-1
121114,Account Group 9: PPE Clearing,LE,Static frequency: quarterly-1,Medium,Quarterly-1
121115,Account Group 9: PPE Clearing,LE,Static frequency: quarterly-1,Medium,Quarterly-1
121116,Account Group 9: PPE Clearing,LE,Static frequency: quarterly-1,Medium,Quarterly-1
121117,Account Group 9: PPE Clearing,LE,Static frequency: quarterly-1,Medium,Quarterly-1
121118,Account Group 9: PPE Clearing,LE,Static frequency: quarterly-1,Medium,Quarterly-1
121119,Account Group 9: PPE Clearing,LE,Static frequency: quarterly-1,Medium,Quarterly-1
121120,Account Group 9: PPE Clearing,LE,Static frequency: quarterly-1,Medium,Quarterly-1
121121,Account Group 9: PPE Clearing,LE,Static frequency: quarterly-1,Medium,Quarterly-1
121122,Account Group 9: PPE Clearing,LE,Static frequency: quarterly-1,Medium,Quarterly-1
121123,Account Group 9: PPE Clearing,LE,Static frequency: quarterly-1,Medium,Quarterly-1
121124,Account Group 9: PPE Clearing,LE,Static frequency: quarterly-1,Medium,Quarterly-1
121125,Account Group 9: PPE Clearing,LE,Static frequency: quarterly-1,Medium,Quarterly-1
121126,Account Group 9: PPE Clearing,LE,Static frequency: quarterly-1,Medium,Quarterly-1
121127,Account Group 9: PPE Clearing,LE,Static frequency: quarterly-1,Medium,Quarterly-1
121128,Account Group 9: PPE Clearing,LE,Static frequency: quarterly-1,Medium,Quarterly-1
121129,Account Group 9: PPE Clearing,LE,Static frequency: quarterly-1,Medium,Quarterly-1
