Account ID,AC,Active?,Preparer Duration
1001-4120-218013-0000-80982-0000-ALL-ALL,218013,Yes,14
1001-4120-301001-0000-80982-0000-ALL-ALL,301001,No,14
1001-4120-303003-0000-80982-0000-ALL-ALL,303003,Yes,14
1001-4120-303004-0000-80982-0000-ALL-ALL,303004,Yes,14
1001-4120-303004-0000-81047-0000-ALL-ALL,303004,Yes,14
1001-4120-304001-0000-80982-0000-ALL-ALL,304001,Yes,14
1001-4120-305007-0000-80982-0000-ALL-ALL,305007,Yes,14
1001-XXXX-Equity-XXXX-XXXXX-XXXX-XXXX-XXXX,Equity,No,14
1001-XXXX-INTERCOMPANY ACCOUNTS PAYABLE-XXXX-XXXXX-XXXX-XXXX-XXXX,INTERCOMPANY ACCOUNTS PAYABLE,No,14
1001-XXXX-INTERCOMPANY ACCOUNTS RECEIVABLE-XXXX-XXXXX-XXXX-XXXX-XXXX,INTERCOMPANY ACCOUNTS RECEIVABLE,Yes,14
1001-XXXX-INVESTMENT IN SUBSIDIARY-XXXX-XXXXX-XXXX-XXXX-XXXX,INVESTMENT IN SUBSIDIARY,No,14
1002_OFF1-3240-218801-0000-80346-0000-ALL-ALL,218801,No,14
1002_OFF1-XXXX-PPE : PPE Cost-XXXX-XXXXX-XXXX-XXXX-XXXX,PPE : PPE Cost,Yes,8
1002_OFF1-XXXX-VAT-XXXX-XXXXX-XXXX-XXXX-XXXX,VAT,Yes,14
1002_OFF2-2160-111001-0000-80155-0000-ALL-ALL,111001,Yes,14
1002_OFF2-2160-111003-0000-80155-0000-ALL-ALL,111003,Yes,8
1002_OFF2-2160-112103-0000-80155-0000-ALL-ALL,112103,Yes,14
1002_OFF2-2160-112117-0000-80155-0000-ALL-ALL,112117,Yes,14
1002_OFF2-2160-112202-0000-80155-0000-ALL-ALL,112202,Yes,14
1002_OFF2-2160-113002-0000-80155-0000-ALL-ALL,113002,No,14
1002_OFF2-2160-115156-0000-80155-0000-ALL-ALL,115156,Yes,14
1002_OFF2-2160-117122-0000-80155-0000-ALL-ALL,117122,Yes,14
1002_OFF2-2160-117201-0000-80155-0000-ALL-ALL,117201,Yes,14
1002_OFF2-2160-211009-0000-80155-0000-ALL-ALL,211009,Yes,14
1002_OFF2-2160-211034-0000-80155-0000-ALL-ALL,211034,Yes,14
1002_OFF2-2160-213004-0000-80155-0000-ALL-ALL,213004,Yes,14
1002_OFF2-2160-213005-0000-80155-0000-ALL-ALL,213005,Yes,14
1002_OFF2-2160-218014-0000-80155-0000-ALL-ALL,218014,Yes,14
1002_OFF2-2160-218080-0000-80155-0000-ALL-ALL,218080,No,14
1002_OFF2-2160-OTHER ACCOUNTS RECEIVABLE : SUPPLIER VOLUME REBATES-XXXX-XXXXX-XXXX-XXXX-XXXX,OTHER ACCOUNTS RECEIVABLE : SUPPLIER VOLUME REBATES,Yes,14
1002_OFF2-2160-OTHER CURRENT LIABILITIES : DEFERRED REVENUE-XXXX-XXXXX-XXXX-XXXX-XXXX,OTHER CURRENT LIABILITIES : DEFERRED REVENUE,Yes,14
1002_ON-1100-113003-0000-80409-0000-ALL-ALL,113003,Yes,14
1002_ON-1100-117122-0000-80409-0000-ALL-ALL,117122,Yes,14
1002_ON-1100-211017-0000-80409-0000-ALL-ALL,211017,Yes,14
1002_ON-1180-213079-8000-80809-0000-ALL-ALL,213079,Yes,14
1002_ON-1900-115104-0000-00000-0000-ALL-ALL,115104,Yes,14
1002_ON-1900-117122-0000-81118-0000-ALL-ALL,117122,Yes,14
1002_ON-1900-211034-0000-00000-0000-ALL-ALL,211034,Yes,14
1002_ON-1900-213004-0000-81118-0000-ALL-ALL,213004,Yes,14
1002_ON-1900-213005-0000-81118-0000-ALL-ALL,213005,Yes,14
1002_ON-1900-218014-0000-81118-0000-ALL-ALL,218014,Yes,14
1002_ON-1900-OTHER ACCOUNTS RECEIVABLE : SUPPLIER VOLUME REBATES-XXXX-XXXXX-XXXX-XXXX-XXXX,OTHER ACCOUNTS RECEIVABLE : SUPPLIER VOLUME REBATES,Yes,14
